CONF_ACC,CONF_AEC,CONF_A_SUN,CONF_A_TEN,CONF_BIG_EAST,CONF_BIG_SKY,CONF_BIG_SOUTH,CONF_BIG_TEN,CONF_BIG_TWELVE,CONF_BIG_WEST,CONF_CAA,CONF_CUSA,CONF_GWC,CONF_HORIZON,CONF_IND,CONF_IVY,CONF_MAAC,CONF_MAC,CONF_MEAC,CONF_MID_CONT,CONF_MVC,CONF_MWC,CONF_NEC,CONF_OVC,CONF_PAC_TEN,CONF_PAC_TWELVE,CONF_PATRIOT,CONF_SEC,CONF_SOUTHERN,CONF_SOUTHLAND,CONF_SUMMIT,CONF_SUN_BELT,CONF_SWAC,CONF_WAC,CONF_WCC,SEASON,TEAMID,SCORE_MEAN,FGM_MEAN,FGA_MEAN,FGM3_MEAN,FGA3_MEAN,FTM_MEAN,FTA_MEAN,OR_MEAN,DR_MEAN,AST_MEAN,TO_MEAN,STL_MEAN,BLK_MEAN,PF_MEAN,SCORE_MEDIAN,FGM_MEDIAN,FGA_MEDIAN,FGM3_MEDIAN,FGA3_MEDIAN,FTM_MEDIAN,FTA_MEDIAN,OR_MEDIAN,DR_MEDIAN,AST_MEDIAN,TO_MEDIAN,STL_MEDIAN,BLK_MEDIAN,PF_MEDIAN,SCORE_STDDEV,FGM_STDDEV,FGA_STDDEV,FGM3_STDDEV,FGA3_STDDEV,FTM_STDDEV,FTA_STDDEV,OR_STDDEV,DR_STDDEV,AST_STDDEV,TO_STDDEV,STL_STDDEV,BLK_STDDEV,PF_STDDEV,WLOCN,WLOCH,WLOCA,WINMARGINMEDIAN,WINMARGINMEAN,LOSEMARGINMEDIAN,LOSEMARGINMEAN,WON_CONFERENCE,TOTAL_WINS,REGION
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011,1350,70.176471,24.941176,53.852941,7.852941,19.647059,12.441176,18,9.058824,24.117647,14.970588,10.676471,6.117647,4.117647,16.088235,69.5,24.5,54,7.5,19,12,18,9,24,15,11,6,4,16,9.160093231,4.396563203,6.840752883,2.046909866,4.361556259,5.315450216,7.130812366,3.583981027,5.043836338,3.51175768,2.495093185,2.671564149,1.919038561,3.74463376,5,12,10,12,14.222222,7,10.285714,1,27,Z
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2022,1159,75.424242,27.454545,57.878788,9.787879,24.333333,10.727273,15.484848,7.545455,25.787879,16.939394,10.909091,6.212121,3.545455,14.666667,74,28,58,10,24,10,15,7,26,16,11,6,4,14,10.59194949,4.841815982,5.715973058,3.789439009,6.52718676,5.4844822,6.99160754,3.545163184,4.28483932,4.575337365,2.754129082,2.74724371,2.195035763,3.813353773,0,14,8,15.5,15.5,5,7.636364,1,22,Y
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021,1180,71.473684,26.052632,54.631579,7.263158,19.526316,12.105263,15.578947,7.526316,23.631579,15.157895,11.789474,4.684211,2.368421,4.684211,73,26,55,7,18,11,15,8,24,15,12,5,2,0,9.453796539,4.478016525,5.272681481,2.468515141,4.221221743,4.306258237,4.947679456,2.037657233,3.593366249,3.685755689,3.521031241,2.495610146,1.949658945,7.965569157,5,3,4,9.5,11,5,6.285714,1,12,Y
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2013,1307,67.441176,21.970588,51.735294,6.411765,18.088235,17.088235,23.676471,9.382353,25.852941,14.617647,11.5,6.117647,3.911765,15.441176,67,21.5,52,6,19,17,23,9,26,14.5,11,6,4,15,11.80187756,4.635078964,5.29899264,3.144187971,4.679857904,7.62916116,8.664523934,3.312187797,4.12040265,4.313577633,3.799920262,2.293134754,2.220669494,3.986273197,5,15,9,9,9.965517,9,10,1,29,Z
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2017,1309,70.75,24.928571,54,4.214286,13.535714,16.678571,23.5,11.928571,23.178571,15.071429,16.571429,7.392857,3,17.607143,71.5,25,54,4,13,16,22.5,12,22.5,15,15.5,8,3,17,8.892881029,3.4740154,5.524356886,2.469924898,4.442906481,6.15872503,8.257432107,3.630412373,3.464674299,3.242410831,3.938683536,3.166248885,1.78470866,3.54170171,2,8,7,10,11.352941,9,14.181818,1,17,W
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2007,1435,75.733333,26.4,58.1,9.166667,24.533333,13.766667,18.9,10.133333,23.1,16.666667,12.466667,7.366667,2.6,17,73.5,26,58,9.5,24.5,13.5,20,9.5,23.5,17,12.5,7,2,16.5,11.86107318,4.839492742,6.121471555,3.343375689,4.644116278,4.710101591,6.561906811,3.626847529,4.253598829,4.75853738,2.700361828,2.976729749,2.027398579,4.25886499,1,14,4,9,13.210526,10,11.181818,0,19,W
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,1242,75,27.806452,57.387097,5.677419,17.032258,13.709677,18.806452,7.16129,25.387097,18.483871,11.225806,7.225806,3.935484,14.677419,75,28,58,6,17,13,18,7,25,18,10,7,3,15,13.27152339,5.540272917,6.671718519,2.46829354,4.460821113,5.41105997,6.675424331,2.794002863,5.987082846,4.884471824,3.90478066,3.073647995,2.489116108,3.197781418,3,15,3,12,14.857143,8,12.9,0,21,Y
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010,1210,72.515152,26.30303,57.878788,6,16.363636,13.909091,21.666667,13.69697,26.545455,13.757576,16.333333,7.757576,5.484848,18.666667,73,26,57,6,17,13,20,13,25,13,16,8,5,18,10.00037879,4.468534771,8.709755909,2.222048604,4.615315374,5.334812743,6.931209635,4.011583603,5.39149163,3.865151226,4.41352093,3.597136917,2.762711711,3.829708475,5,13,3,11,14,6.5,6.833333,0,21,Y
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019,1326,69.636364,24.151515,55.272727,7.545455,21.969697,13.787879,18.787879,9.393939,25.363636,14.242424,12.545455,5.909091,2.515152,17.909091,69,24,56,7,22,13,18,9,26,14,12,5,3,18,13.50652198,4.630882853,6.27630823,3.143355214,4.97798182,6.589563567,8.161485649,3.239785795,4.695863712,4.603193891,4.116209664,2.415621452,1.641668663,3.761346434,3,12,4,14,15.157895,10,12.5,0,19,Y
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,1393,70.21875,23.9375,56.125,8.75,24.25,13.59375,19.90625,11.8125,23.71875,14.0625,12.125,8.09375,4.0625,16.5625,72,24,55,8,24.5,13.5,19,11,22.5,13.5,12,7.5,3.5,16,9.386793649,3.901509195,6.6320337,2.711980642,5.067289117,4.930872945,7.013164478,4.373213921,5.219284146,3.369095724,3.748117794,2.716251829,2.711236987,3.958962869,3,13,3,13,13.368421,8,8.461538,0,19,X
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,1400,73.060606,24.727273,56.666667,5.757576,17.606061,17.848485,24.424242,13.424242,22.757576,12.363636,12.575758,6.818182,3.636364,19.515152,72,25,57,6,17,18,25,13,22,13,12,6,3,19,9.968511022,4.252004821,7.435836671,2.437087196,4.775846731,7.036162022,8.95136269,3.708354622,4.272223543,3.798175351,3.553434114,2.171614376,2.302419597,6.149802924,1,15,4,11,15.2,5,7.538462,0,20,W
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2016,1425,80.848485,28.909091,63.181818,7.878788,20.454545,15.151515,22.333333,12,27.454545,14.878788,12.212121,6.333333,5.454545,17.454545,79,29,64,8,21,15,23,12,28,15,11,5,5,17,11.8562252,4.785156946,7.476858231,3.199194899,4.981785021,7.009463318,9.184452461,3.561951712,6.088364477,4.787728898,3.747979189,2.581988962,2.682010813,4.352376592,2,16,3,12,15.809524,10,10.916667,0,21,W
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2024,1196,85.142857,29.771429,65.2,7.685714,22.485714,17.914286,25.171429,13.028571,26.714286,14.828571,11.314286,6.657143,5.2,18.342857,85,29,65,8,23,17,25,13,26,14,11,7,5,18,11.04840382,4.466118897,6.969682274,2.422582919,4.546307073,6.218432922,8.096788437,4.592101371,4.700259248,4.355427419,3.260922109,2.248435456,2.233435694,3.970056045,7,14,3,12.5,13.333333,5,8.090909,0,24,Z
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021,1199,78.909091,28.181818,59.409091,8.227273,21.090909,14.318182,19.409091,10.409091,24.272727,14.590909,14.136364,7.409091,5.136364,6.545455,78.5,26.5,59.5,8,20.5,12.5,20,10.5,24,13.5,14,8,5.5,0,9.704731733,4.807101518,6.238582611,2.893865754,5.82203607,6.32746371,7.974119387,3.899439447,4.165411024,4.204975386,4.109170354,3.06530651,2.16674987,9.189679864,1,12,3,13,15.3125,10,9.333333,0,16,W
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008,1462,75.333333,25.454545,53.30303,7.757576,19.818182,16.666667,22.212121,11.272727,24.787879,15.545455,13.272727,5.575758,3.454545,17.333333,75,25,53,7,19,16,21,11,24,16,13,5,3,17,13.60759593,5.006813558,8.1642699,3.518081011,5.252704922,6.29318417,8.041911962,4.557087337,4.884654338,4.994314968,3.281317571,2.222474747,1.954016888,2.901149255,4,16,7,15,18.222222,7.5,10.5,0,27,Z
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,1438,63.575758,24.060606,55.484848,6.575758,18.121212,8.878788,13.939394,7.484848,22.181818,15.242424,7.636364,7.121212,5.090909,13.484848,65,24,55,5,17,9,13,8,22,15,8,7,4,13,12.16303391,4.609361344,4.925198067,3.259891716,4.979693565,4.774656846,6.882674771,3.21248751,4.419095948,4.847875205,3.008510595,3.14003949,2.88707932,3.64966793,3,15,5,12,14.086957,20.5,19.2,0,23,Y
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2018,1401,75,27.71875,60.65625,6.59375,20.125,12.96875,19.4375,12.5625,28.78125,15.46875,13.5625,5.59375,5.90625,16.75,73,28,59.5,6,20,13.5,20,12,28.5,15.5,13,6,6,16,12.38104693,4.473826215,7.15996655,2.927724885,5.185276945,6.362614478,8.732355467,4.173167023,5.812857731,5.388065516,3.518957942,2.538215909,2.374044861,3.672039079,3,13,4,15,14.1,11.5,9.666667,0,20,Z
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,1462,81.34375,27.375,60.5625,7.59375,21,19,26,13.0625,27.9375,16.375,12.75,7.3125,3.0625,20.1875,84,28,59,7,21,19.5,26.5,13,28.5,16,13,7,3,20,9.763689723,3.553734937,7.192906436,2.710307363,3.663243781,6.485716306,7.197669901,4.865530495,5.167750478,4.12506109,3.537814156,2.87859167,2.12416972,3.788245768,4,15,8,12,14.703704,9,13.4,0,27,W
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2011,1196,71.545455,25.939394,56.181818,6.212121,17.454545,13.454545,20.181818,13.090909,24.424242,13.727273,12.424242,5.878788,3.545455,14.424242,70,25,57,6,18,12,20,13,25,13,13,5,3,13,12.92064944,5.291144678,7.46430901,2.027276005,3.708865325,5.601846303,7.269175263,4.133427996,3.857057687,4.281301788,3.473383653,3.425616441,1.751622676,3.354384295,3,14,9,11,13,7,8.285714,0,26,Y
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2005,1246,73.733333,26.5,57.733333,6.533333,19.333333,14.2,21.4,12.7,22.9,15.266667,13.033333,9.4,4.433333,16.8,76,26.5,57,6,19,13,21,12.5,23,15,12.5,9,4,16,11.65874938,4.688577503,8.38690825,2.800656709,4.957288876,4.475219101,5.974659153,4.442351067,3.42757582,4.630731908,3.253468457,3.222763876,2.635085957,4.566746325,4,14,7,15,16.16,12,9.8,0,25,Y
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006,1320,65.433333,22.9,50.433333,6.7,19.266667,12.933333,17.966667,8.5,24.7,13.6,12.433333,5.233333,3.433333,14.233333,67,22.5,50,6,19.5,13,18,8,25.5,13,13,5,3,14.5,11.50017491,4.301964319,5.250177902,2.984442494,4.856089888,6.113486158,7.622486405,3.07099886,5.066114586,3.987912737,3.147887387,2.358891265,2.079179886,3.470897002,3,11,7,13,12.666667,7,6.888889,0,21,Y
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2016,1143,75.121212,26.272727,57,7.060606,19.151515,15.515152,23.636364,11.333333,28.636364,12.969697,12.212121,4.121212,4.818182,20.666667,75,25,57,7,18,14,23,12,28,14,13,4,5,21,9.587614302,3.955002528,6.427480066,2.461445104,4.131594849,5.579657337,8.576195893,3.237154151,5.201070659,4.304683844,3.663652276,1.996208406,2.697852665,4.455801499,1,18,4,13,14.130435,5,5.8,0,23,Y
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2011,1140,81.272727,27.545455,61.090909,8.181818,22.666667,18,23.818182,11.454545,27,14.272727,11,7.969697,4.181818,17.606061,79,28,59,8,24,19,24,11,26,14,11,8,4,18,11.48442619,4.697678363,7.763551185,3.11703529,4.728019353,5.584576976,7.397020278,3.881775625,5.465802777,4.678893566,3.570714214,3.566202883,2.14264066,4.061552905,7,12,10,13,17.068966,13.5,13,0,29,Y
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014,1243,69.71875,24.34375,55.84375,6.03125,18.03125,15,22.78125,12.40625,23.59375,15.46875,12.3125,6.1875,2.96875,21.6875,71.5,24,55.5,6,18,16,22.5,12,23,16,12,6,3,22,8.254947183,3.764086476,7.375239183,2.571360535,3.987758518,5.155642055,7.056154406,4.825064766,4.125916262,4.479230738,3.52353842,3.094610315,1.94246879,3.550897211,3,15,2,11,13,8.5,11,0,20,Y
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2013,1424,71.090909,24.939394,57.121212,6.484848,19.818182,14.727273,20.848485,11.757576,28.090909,16,14.060606,7.181818,5.818182,16.939394,72,24,58,7,19,13,20,12,28,16,13,7,6,16,10.23585497,3.952367898,5.566403507,1.787477552,5.040179461,6.53487146,8.419179057,3.976731573,4.20091978,4.905354218,3.381377234,2.952271837,2.709411191,3.716007535,0,18,6,12,13.041667,6,7.222222,0,24,W
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006,1452,70.655172,25.517241,57.310345,10.034483,29.310345,9.586207,12.862069,7.827586,19.724138,17.586207,8.344828,7.896552,2.689655,13,68,24,56,10,29,9,12,8,20,17,8,8,2,13,12.53929783,4.461107262,5.244748707,3.156430579,5.880375668,4.246992583,5.416404527,3.338829585,3.358321753,4.204735782,2.287791511,3.14352875,1.692492836,3.240370349,2,12,5,9,11.578947,5,5.7,0,19,W
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005,1437,73.758621,25.482759,57.517241,7.103448,19.241379,15.689655,21.172414,14.275862,22.586207,12.37931,12.62069,8.241379,5.689655,18.413793,74,26,56,6,19,14,21,14,22,12,14,8,5,18,10.09474819,4.672263798,6.895240025,3.062968005,5.336231723,7.883542732,9.369665949,4.757674642,4.663821609,3.426928946,3.839771087,2.544674635,2.089146237,3.590834026,3,14,5,14,16.090909,2,4.571429,0,22,Z
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2023,1192,76.28125,27.78125,61.59375,7.84375,22.78125,12.875,17.1875,9.875,20.625,14.3125,11.15625,7.4375,1.875,19.125,76.5,28,62,7.5,22.5,13.5,18,10,21,13.5,10.5,8,2,18.5,11.44195556,4.132751747,6.598432768,3.070246081,4.750106104,5.350610432,6.591477907,3.498847667,3.924694383,4.518331882,3.213975264,2.638884234,1.385407882,3.544646104,1,8,8,8,9.411765,8,10,0,17,W
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011,1396,70.9375,25.59375,57.125,6.09375,17.21875,13.65625,19.6875,11.03125,25.0625,15.25,10.78125,6.9375,4.6875,15.9375,72.5,25,56.5,6,16.5,13.5,17,10.5,25,15,9.5,6.5,5,16,10.87446698,5.13595405,5.603858135,2.531853471,4.55599122,5.510162883,7.659855547,3.889476057,5.130160621,4.479343255,3.747983324,2.90647226,1.874058964,4.69685895,4,14,7,12,13.56,7,8.285714,0,25,X
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2019,1449,69.823529,24.558824,54.264706,7.470588,21.588235,13.235294,19.058824,9.470588,22.117647,11.676471,13.352941,9,5.735294,18.411765,69.5,24.5,54.5,7,20,13,17,8,22,11.5,14,9,5,18,9.404932908,3.619737007,6.156094866,2.654159566,4.390883396,4.924021629,6.870848274,4.084229058,4.630365536,3.46165654,3.66707172,2.374102778,2.538298446,3.124852957,4,15,7,8.5,10.230769,10,10.125,0,26,Y
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,1235,73.1875,24.875,55.40625,8.875,23.375,14.5625,21.4375,10.84375,25.875,14.59375,12.53125,5.875,2.8125,16.0625,72,25,54.5,8.5,23,14.5,21,11,25,14.5,12,6,2.5,15.5,9.430347396,3.289769141,6.539504645,3.024096725,5.44029172,5.25441443,8.091961382,3.332241138,4.541919418,4.038998391,2.929101739,2.059595834,1.712148358,3.81793308,2,16,4,9.5,12.954545,7,7.8,0,22,Y
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2007,1450,66.53125,24.125,51.875,5.75,15.46875,12.53125,17.625,7.84375,22.53125,13.875,10.3125,6.65625,4.46875,16.25,66.5,24,51,5,15,11,17,8,22,13.5,10,7,4,16,9.761624609,4.046105288,7.325386679,2.514474299,5.610959187,5.236253145,6.514252375,2.653170745,5.180511751,4.397580016,3.031421449,2.946943501,2.940094046,3.454776983,5,12,8,11,11.28,5,6.428571,0,25,W
